CALLE;PUNTO;long;lat;LARGO;ANCHO;Fallas;Longitudinal;Transversal;Oblicua;Esquina;Long. Incom.;Trans. Incom;O-sin definir;E-sin definir;long grados;lat grados
C. HENRIQUEZ;310;650186;5591472;6.99;7.89;8;2;5;0;0;0;0;1;0;-73.2453611111111;-39.8134722222222
C. HENRIQUEZ;330;650186;5591445;9.12;8.89;4;2;1;0;0;0;0;0;1;-73.2453611111111;-39.8137222222222
C. HENRIQUEZ;350;650181;5591426;9.71;8.84;2;1;0;0;0;0;1;0;0;-73.2454166666667;-39.8138888888888
C. HENRIQUEZ;370;650173;5591408;11.44;9.6;16;3;4;0;0;5;4;0;0;-73.2455000000000;-39.8140555555555
C. HENRIQUEZ;390;650175;5591383;10.15;8.9;7;0;3;2;2;0;0;0;0;-73.2454722222222;-39.8142777777777
C. HENRIQUEZ;410;650161;5591380;10.13;8.94;8;1;0;1;0;1;4;1;0;-73.2456388888889;-39.8143055555555
C. HENRIQUEZ;430;650155;5591347;7.28;7.45;13;2;3;0;0;3;3;1;1;-73.2456944444444;-39.8146111111110
C. HENRIQUEZ;450;650162;5591331;4.85;8.94;0;0;0;0;0;0;0;0;0;-73.2456111111112;-39.8147500000000
C. HENRIQUEZ;470;650152;5591304;6.07;9.01;3;0;2;0;1;0;0;0;0;-73.2457222222223;-39.8150000000000
OHIGGINS;0;650187;5591762;5.1;6.62;1;0;1;0;0;0;0;0;0;-73.2454166666667;-39.8108611111111
OHIGGINS;-10;650185;5591753;3.66;6.04;2;0;1;1;0;0;0;0;0;-73.2454444444444;-39.8109444444444
OHIGGINS;-30;650180;5591735;3.85;6.04;0;0;0;0;0;0;0;0;0;-73.2455000000000;-39.8111111111111
OHIGGINS;-50;650177;5591716;1.94;6.04;1;0;0;1;0;0;0;0;0;-73.245527777778;-39.8112777777777
OHIGGINS;-70;650172;5591695;4.27;5.85;0;0;0;0;0;0;0;0;0;-73.2455833333333;-39.8114722222222
OHIGGINS;-90;650164;5591677;4.51;6.08;0;0;0;0;0;0;0;0;0;-73.2456666666666;-39.8116388888888
OHIGGINS;-110;650159;5591658;3.09;6.12;0;0;0;0;0;0;0;0;0;-73.2457222222223;-39.8118055555555
OHIGGINS;-130;650147;5591643;5.37;9.61;1;0;1;0;0;0;0;0;0;-73.2458611111111;-39.8119444444444
OHIGGINS;-160;650153;5591606;4.72;9.14;1;0;1;0;0;0;0;0;0;-73.2457777777777;-39.8122777777777
OHIGGINS;-180;650141;5591588;6.36;9.01;3;0;2;0;0;1;0;0;0;-73.2459166666667;-39.8124444444444
OHIGGINS;-200;650131;5591569;6.46;9.02;1;0;0;0;0;1;0;0;0;-73.2460277777778;-39.8126111111111
OHIGGINS;-220;650131;5591548;6.42;9.07;2;0;1;0;0;1;0;0;0;-73.2460277777778;-39.8128055555555
OHIGGINS;-250;650135;5591520;5.05;9.31;1;0;1;0;0;0;0;0;0;-73.2459722222222;-39.8130555555555
OHIGGINS;-270;650123;5591502;9.75;8.99;2;0;1;0;0;1;0;0;0;-73.2461111111111;-39.8132222222222
OHIGGINS;-290;650123;5591486;5.43;8.94;2;0;2;0;0;0;0;0;0;-73.2461111111111;-39.8133611111111
OHIGGINS;-330;650117;5591440;6.06;7.06;0;0;0;0;0;0;0;0;0;-73.2461666666667;-39.8137777777777
OHIGGINS;-350;650117;5591425;8.7;12.29;6;0;4;0;0;2;0;0;0;-73.2461666666667;-39.8139166666666
OHIGGINS;-370;650111;5591400;9.88;12.42;9;0;6;0;1;1;0;0;1;-73.2462222222223;-39.8141388888888
OHIGGINS;-390;650113;5591384;10.18;12.62;5;0;3;0;0;1;0;0;1;-73.2461944444444;-39.8142777777777
OHIGGINS;-410;650101;5591366;9.99;12.77;3;0;2;0;0;1;0;0;0;-73.2463333333334;-39.8144444444444
OHIGGINS;-440;650093;5591339;3.18;7.4;8;2;0;1;0;0;2;2;1;-73.2464166666666;-39.8146944444444
